Абдоминопластика  Косметическая операция в области живота, формирование талии.
Аберрация  Искажение наблюдаемых явлений, отход от истинности.
Абстиненция  Строгое воздержание от секса, алкоголя, табака, вызванное комплексами.
Абстрагирование  Размышление, отвлеченное от конкретных явлений и предметов с целью выявления их существенных признаков.
Абулия  Безволие, отсутствие желаний.
Аверсия  Отвращение.
Автаркия  Замкнутая на себя самодостаточная экономическая модель государства или региона.
Автотрофный  Про организм, который питается неограникой – растения, например.
Автохтонность  Соответствие и принадлежность по происхождению данной стране и территории. Автохнонный – местный.
Авуары  Вклады физических лиц и организаций в банках, или собственно средства банка.
Агиография  Церковное жизнеописание святой персоны.
Агломерация  Объединение мелких частей в единое целое.
Агноним  Малоизвестное непонятное слово или оборот речи.
Агностицизм  Философское идеалистическое течение, отрицающее возможность абсолютного познания мира и достижимость истины.
Агрегация  Объединение разрозненных элементов в единую систему.
Адгезия  Слипание (сцепление) разнородных поверхностей. Основа для таких процессов, как: склеивание, напыление, сварка, пайка.
Аддикция  Полученный путем сложения.
Аддитивность  Такое свойство, когда значение некой величины характеризующей объект равно сумме величин составных частей этого объекта.
Айдентика  Рекламный термин – комплекс индивидуальных элементов, повышающих узнаваемость компании, товара; Фирменный стиль иными словами.
Аккомодация  Приспосабливание, адаптация.
Акрибофобия  Навязчивый страх не понять смысл прочитанного.
Аксиология  Учение о ценностях, положительной и отрицательной значимости объектов и явлений для человека и общества.
Акциденция  Случайное и несущественное свойство.
Алертность  Готовность к действию.
Аллегория  Иносказание, переносное толкование прямого смысла.
Алогизм  Нарушение или отсутствие логических связей в некоем процессе, просто нелогичность.
Амбивалентность  Двойственность переживания, выражающаяся в том, что один объект вызывает у человека одновременно два противоположных чувства.
Амбиграмма  Графически изображенные слова или фразы – первертыши, т.е. читаемые с двух сторон. Простой пример, год – 1961 (если единицы без засечек). Сложные А. – слова в виде сложного симметричного каллиграфического узора.
Амбидекстер  Человек, у которого развиты оба полушария, на практике может, например, писать как правой, так в равной степени и левой руками.
Амикошонство  Чрезмерная фамильярность, панибратство.
Амок  Внезапно возникающее буйное психическое расстройство.
Амперсанд  Знак "&", в европейских языках в некоторых случаях заменяет союз "и". Применяется как технический символ, напр., логическое "И", но иногда называют коммерческое "И"
Амфиболичность  Двусмысленность, двойственность, противоречивое толкование.
Анабасис  Военный поход по недружественным, враждебным территориям.
Анаглиф  Стереоизображение, воспринимаемое при просмотре через специальные (красно-голубые) очки.
Анаграмма  Слово или словосочетание образованное перестановкой букв или составных частей, например, «апельсин» и «спаниель».
Анальгезия  Утрата восприятия боли.
Ангедония  Отсутствие способности получать удовольствия и радость от жизни.
Андрогин  Мифологическое существо одновременно и равномерно обладающее признаками двух противоположных полов как базовых принципов (мужественность и женственность, небо и земля)
Андрогония  Наличие у особи одного пола признаков другого пола.
Аневризма  Расширение. В медицине – локальное расширение, например, кровеносного сосуда.
Аннигиляция  Уничтожение чего-то вплоть до его полного исчезновения.
Аннотация  Очень сжатое изложение научного или литературного произведения.
Аномия  Состояние, характерное разложением системы ценностей в индивидуальном или общественном сознании.
Антагонизм  Непримиримое противоречие, противостояние.
Антимония  Болтовня, пустые разговоры.
Апатрид  Лицо без гражданства.
Апноэ  Временная остановка дыхания.
Апология  Непомерное восхваление, предвзятая, необъективная позиция в силу особой заинтересованности по отношению к явлению, предмету или личности.
Апория  Логическое затруднение, непреодолимая проблема, вступающая в противоречие с очевидными фактами.
Апостериори  Утверждение доказанное и проверенное опытным путём. Противоположное понятие – априори – утверждение, принимаемое без доказательств. Заимствованно из латинского языка, нередко используется «родное» написание: a posteriori и a priopi.
Апперцепция  Зависимость восприятия от личного прошлого опыта и индивидуальных особенностей.
Аппроксимация  Термин из математики, выражение сложных объектов и явлений упрощенными аналогами близкими по сути.
Априори  Изначально принимаемое утверждение, не требующее доказательств и подтверждения опытом.
Апробация  Одобрение, основанное на обследовании и проверке. Чаще употребляется просто как собственно проверка или проба, что не совсем правильно.
Артефакт  Что-то искусственно сделанное, предмет или культурный объект изготовленный человеком, представляющий некую ценность.
Архетип  Изначальные врожденные схемы образов, характерные для коллективного или массового сознания.
Асфикция  Удушье, кислородное голодание организма по причине прекращения или затруднения дыхания.
Атихифобия  Боязнь совершить ошибку.
Аттрактивность  Притягательность, прельщение.
Аутентичность  Подлинность, соответствие заявленным свойствам.
Аутизм  Психическое состояние, для которого характерна крайне замкнутая внутренняя жизнь и нездоровый уход от внешнего мира.
Аутопоэзис  Самовоспроизводство. Производитель и объект производства в одном лице. Применимо к живым существам.
Аутсорсинг  Передача одной организацией некоторых бизнес-процессов и производственных функций другой организации. Например, бухгалтерия, обслуживание техники, транспортные услуги.
Аутстаффинг  Прием в кадровой работе: вывод сотрудника из штата компании в штат другой (например, компании-подрядчика) при сохранении выполняемых функций.
Афабельность  Приветливость
Аффект  Состояние сильного возбуждения и потери самоконтроля.
Аффектация  Искусственное, наигранное эмоциональное возбуждение.
Аффилиация  Стремление к сближению с людьми, желание войти в то или иное сообщество.
Аффилированность  Способность и возможность влиять на какие-либо процессы или деятельность в силу сопричастности, вхождения во влиятельную группу лиц.
Аффирмация  Позитивное утверждение, вербальная или мысленная формулировка для самовнушения.
Ахроматопсия  Неспособность различать цвета, недостаток зрения.
Балисонг  Складной нож-бабочка.
Бальнеология  Наука, исследующая минеральные воды и грязи, а также их применение.
Барражирование  Дежурные полеты военной авиации.
Бенчмаркинг  Формирование и улучшение работы компании на анализе и сопоставлении примеров функционирования аналогичных структур в среде конкурентов и партнеров.
Берсерк  По древнескандинавским легендам воин, отличавшийся неистовством и нечувствительностью к боли.
Бетризация  Процедура, снижающая агрессию у людей и повышающая инстинкт самосохранения, как способ сделать людей счастливыми и миролюбивыми. Термин заимствован из книги Станислава Лема «Возвращение со звёзд».
Биеннале  Выставка или иное творческое мероприятие, проводимое дважды в год.
Бифуркация  Естественное раздвоение или искусственное разделение на два потока каких-либо процессов, явлений.
Бихевиоризм  Направление буржуазной психологии, в котором объектом изучения и главными мотивами поступков человека признавалось не сознание, а физиология и внешние факторы воздействия. В широком смысле приоритет поведения (behaviour, англ.) над сознанием.
Блефаропластика  Пластическая операция на веках.
Богема  Творческая и артистическая среда: люди и образ жизни.
Бонвиван  Кутила и весельчак, живущий в своё удовольствие и на широкую ногу.
Бонистика  Изучение бумажных денежных знаков как исторических артефактов.
Бронтофобия  Боязнь грома, молнии, грозы в целом.
Брутальность  Грубость, натуралистичность.
Будирование  Изображение обиды.
Бужирование  Расширение канала (медицинский термин).
Булимия  Неутолимый постоянный голод, болезненное состояние, оно же порой причина ожирения.
Буллинг  Психологическая травля человека внутри некой группы.
Буриме  Сочинение стихов на заданные рифмы, или просто игра в рифмы.
Бурлеск  Музыкальная пьеска или театральная постановка несерьезного шутливо-пародийного плана.
Буферизация  Часть процесса передачи чего-то (вещества, свойств, информации) с использованием промежуточного элемента обработки – буфера.
Вазомоторика  Сужение-расширение кровеносных сосудов, объясняющее покраснение или бледность. Vas – сосуд (лат.)
Валидность  Полное соответствие неким стандартам или соответствие результата изначально поставленным задачам.
Вампука  Шаблонное представление – кино или театральное, наполненное банальностями и трафаретными избитыми пассажами.
Вариабельность  Изменчивость, непостоянство, способность к образованию вариантов и их наличие.
Варио  Изображение, меняющееся в зависимости от угла просмотра. Картинка-переливашка, проще говоря.
Вендор  Поставщик.
Вербальный  Словесный, устный.
Верификация  Проверка теории практикой или просто проверка на соответствие.
Верлибр  Свободная нерифмованная стихотворная форма.
Вивисекция  Операция на живом организме с целью изучения функционирования органов.
Визионер  Провидец, или просто человек страдающий галлюцинациями.
Виндикация  Истребование своего имущества из чьего-то незаконного владения через суд.
Виральность  Эффект «вирусного» распространения информации самими лицами, для которых эта информация предназначалась.
Витальность  Жизненность, проявление жизни.
Волатильность  Характеристика тенденций изменения рыночных и финансовых показателей со временем.
Воляпюк  Бессодержательная бессмысленная речь. Термин происходит от искусственно придуманного в XIX веке международного языка, не получившего распространения. Само слово «В.» – искажённое английское «world + speak»).
Вотив  Приношение божествам по обету или в связи с неким пожеланием.
Газлайтинг  Психологическая манипуляция и давление на человека с целью вызвать у него сомнение в собственной адекватности восприятия окружающей действительности.
Гамбит  Приём в шахматной партии, когда игрок сознательно подставляет и жертвует фигуры, с целью получения преимущества при дальнейшем развитии игры.
Гандикап  Спортивное соревнование, в котором участники заметно различаются в уровне подготовки, при этом предварительно шансы на победу уравниваются через предоставление форы слабейшим.
Гаптофобия  Боязнь прикосновений других людей.
Гастрономия  Культура приготовления и употребления пищи.
Гебефрения  Психическое расстройство, характеризующееся шутовским поведением, неконтролируемым ребячеством. Патологическое "впадение в детство".
Гедонизм  Учение о том, что смысл и цель жизни заключается в получении удовольствия.
Гекатомба  Огромные единовременные человеческие жертвы в результате массового убийства, войны, стихийных бедствий. Изначально масштабное жертвоприношение (100 быков).
Гелертерство  Напыщенная кичливая учёность, оторванная от жизни и практики.
Гелотофобия  Патологическая боязнь насмешек, очень сильная оценочная зависимость из страха выглядеть смешно, в том числе, по причине фатального отсутствия чувства юмора. Гелатофилия – наоборот, склонность становиться объектом насмешек.
Гемотрансфузия  Переливание крови.
Гермафродит  Обладающий признаками обоих полов, в отличие от андрогина, изначально единого. Г. объединяет в себе разделенные противоположности (соотв. гермафродитизм).
Герменевтика  Наука о толковании текстов, поиске в них скрытых смыслов.
Геронтофилия  Влечение к людям старческого возраста.
Герундий  Вид глагольной формы, но также обладает свойствами существительного. Используется в английском языке, напр., coming, living.
Гетерохромофилия  Влечение к лицам другой расы, с другим цветом кожи. Широко пропагандируется в современном обществе, несмотря на очевидность этой девиации.
Гештальт  Форма или образ, как некие целостные образования и первооснова психики. Лежит в основе гештальтпсихологии, немецкой, начала ХХ века психологической школы.
Гибернация  Искусственно вызванное состояние замедленной жизнедеятельности организма похожее на зимнюю спячку у животных.
Гибрис  Непомерная гордыня, самовлюблённость. Синдром – личностная деформация людей, оказавшихся на высоте власти и известности.
